"Code",Groupe,"Frequence"
"1A",1As,7407
"1AY",1As,6580
"1AM",1As,2645
"1AD",1As,214
"1BP",1As,121
"1AA",1As,95
"1BF",1As,34
"1BI",1As,19
"1BG",1As,18
"1AB",1As,15
"1BD",1As,12
"1BPY",1As,5
"1ADY",1As,4
"1BT",1As,3
"1B",1As,3
"1AAY",1As,3
"1BC",1As,2
"1AC",1As,2
"1AAM",1As,2
"1BFY",1As,1
"1BFM",1As,1
"1ASY",1As,1
"1ASM",1As,1
"2BE",2Bs,888
"2A",2Bs,540
"2B",2Bs,234
"3AN",2Bs,207
"2AE",2Bs,100
"2BD",2Bs,29
"2AT",2Bs,24
"3AE",2Bs,22
"2AK",2Bs,21
"2AY",2Bs,14
"3ANY",2Bs,12
"3A",2Bs,7
"2BY",2Bs,4
"3ANM",2Bs,3
"3D",2Bs,2
"2AM",2Bs,2
"R3AN",2Bs,1
"R2BE",2Bs,1
"R2BD",2Bs,1
"R2A",2Bs,1
"3AEY",2Bs,1
"3AC",2Bs,1
"2BM",2Bs,1
"2BEY",2Bs,1
"4GD",4GAs,2
"4GA",4GAs,1630
"4A",4GAs,84
"4P",4GAs,39
"4GAY",4GAs,11
"R4GA",4GAs,1
"M4GA",4GAs,1
"4PY",4GAs,1
"4GAM",4GAs,1
"4GS",4GSs,491
"4GSY",4GSs,10
"4GSM",4GSs,5
"R4GS",4GSs,2
"M4GS",4GSs,2
"5A",5As,295
"5AY",5As,17
"5AM",5As,15
"M5A",5As,1
"5S",5Ss,950
"6S",5Ss,163
"9S",5Ss,49
"5SY",5Ss,38
"R5S",5Ss,12
"M5S",5Ss,11
"5SM",5Ss,11
"6SY",5Ss,10
"5G",5Ss,10
"R6S",5Ss,3
"5GY",5Ss,3
"M5G",5Ss,1
"6SM",5Ss,1
"5GM",5Ss,1
"7E",7Ts,920
"7T",7Ts,832
"M7T",7Ts,89
"7TM",7Ts,76
"7TY",7Ts,43
"R7T",7Ts,40
"8AY",8As,315
"8AM",8As,243
"8A",8As,236
"8E",8As,71
"8C",8As,63
"8CY",8As,31
"M8A",8As,27
"R8A",8As,20
"8CM",8As,15
"R8E",8As,2
"9A",8As,2
"R8C",8As,1
"M8C",8As,1
"8G",8As,1
"R1A",R1As,1288
"M1A",R1as,645
"R",R1As,244
"RC",R1As,16
"R1AB",R1As,1
